2026-06-25 12:18:55 +02:00: 🚀 Dialfire Sync Script Started
2026-06-25 12:18:55 +02:00:    Campaign: GENS85UE5SU4SSC7
2026-06-25 12:18:55 +02:00:    Webhook: http://localhost:3000/api/webhooks/dialfire-sync
2026-06-25 14:52:36 +02:00: [2026-06-25T12:52:36.191Z] Polling Dialfire...
2026-06-25 14:53:36 +02:00: [2026-06-25T12:53:36.193Z] Polling Dialfire...
2026-06-25 14:54:36 +02:00: [2026-06-25T12:54:36.194Z] Polling Dialfire...
2026-06-25 14:55:36 +02:00: [2026-06-25T12:55:36.195Z] Polling Dialfire...
2026-06-25 14:56:36 +02:00: [2026-06-25T12:56:36.195Z] Polling Dialfire...
2026-06-25 14:57:36 +02:00: [2026-06-25T12:57:36.197Z] Polling Dialfire...
2026-06-25 14:58:36 +02:00: [2026-06-25T12:58:36.198Z] Polling Dialfire...
2026-06-25 14:59:36 +02:00: [2026-06-25T12:59:36.200Z] Polling Dialfire...
2026-06-25 15:00:36 +02:00: [2026-06-25T13:00:36.201Z] Polling Dialfire...
2026-06-25 15:01:36 +02:00: [2026-06-25T13:01:36.202Z] Polling Dialfire...
2026-06-25 15:02:36 +02:00: [2026-06-25T13:02:36.204Z] Polling Dialfire...
2026-06-25 15:03:36 +02:00: [2026-06-25T13:03:36.205Z] Polling Dialfire...
2026-06-25 15:04:36 +02:00: [2026-06-25T13:04:36.207Z] Polling Dialfire...
2026-06-25 15:05:36 +02:00: [2026-06-25T13:05:36.207Z] Polling Dialfire...
2026-06-25 15:06:36 +02:00: [2026-06-25T13:06:36.209Z] Polling Dialfire...
2026-06-25 15:07:36 +02:00: [2026-06-25T13:07:36.211Z] Polling Dialfire...
2026-06-25 15:08:36 +02:00: [2026-06-25T13:08:36.212Z] Polling Dialfire...
2026-06-25 15:09:36 +02:00: [2026-06-25T13:09:36.211Z] Polling Dialfire...
2026-06-25 15:10:36 +02:00: [2026-06-25T13:10:36.212Z] Polling Dialfire...
2026-06-25 15:11:36 +02:00: [2026-06-25T13:11:36.213Z] Polling Dialfire...
2026-06-25 15:12:36 +02:00: [2026-06-25T13:12:36.214Z] Polling Dialfire...
2026-06-25 15:13:36 +02:00: [2026-06-25T13:13:36.216Z] Polling Dialfire...
2026-06-25 15:14:36 +02:00: [2026-06-25T13:14:36.217Z] Polling Dialfire...
2026-06-25 15:15:36 +02:00: [2026-06-25T13:15:36.219Z] Polling Dialfire...
2026-06-25 15:16:36 +02:00: [2026-06-25T13:16:36.220Z] Polling Dialfire...
2026-06-25 15:17:36 +02:00: [2026-06-25T13:17:36.221Z] Polling Dialfire...
2026-06-25 15:18:36 +02:00: [2026-06-25T13:18:36.222Z] Polling Dialfire...
2026-06-25 15:19:36 +02:00: [2026-06-25T13:19:36.224Z] Polling Dialfire...
2026-06-25 15:20:36 +02:00: [2026-06-25T13:20:36.225Z] Polling Dialfire...
2026-06-25 15:21:36 +02:00: [2026-06-25T13:21:36.226Z] Polling Dialfire...
2026-06-25 15:22:36 +02:00: [2026-06-25T13:22:36.228Z] Polling Dialfire...
2026-06-25 15:23:36 +02:00: [2026-06-25T13:23:36.230Z] Polling Dialfire...
2026-06-25 15:24:36 +02:00: [2026-06-25T13:24:36.232Z] Polling Dialfire...
2026-06-25 15:25:36 +02:00: [2026-06-25T13:25:36.233Z] Polling Dialfire...
2026-06-25 15:26:36 +02:00: [2026-06-25T13:26:36.235Z] Polling Dialfire...
2026-06-25 15:27:36 +02:00: [2026-06-25T13:27:36.236Z] Polling Dialfire...
2026-06-25 15:28:36 +02:00: [2026-06-25T13:28:36.237Z] Polling Dialfire...
2026-06-25 15:29:36 +02:00: [2026-06-25T13:29:36.239Z] Polling Dialfire...
2026-06-25 15:30:36 +02:00: [2026-06-25T13:30:36.241Z] Polling Dialfire...
2026-06-25 15:31:36 +02:00: [2026-06-25T13:31:36.242Z] Polling Dialfire...
2026-06-25 15:32:36 +02:00: [2026-06-25T13:32:36.244Z] Polling Dialfire...
2026-06-25 15:33:36 +02:00: [2026-06-25T13:33:36.245Z] Polling Dialfire...
2026-06-25 15:34:36 +02:00: [2026-06-25T13:34:36.246Z] Polling Dialfire...
2026-06-25 15:35:36 +02:00: [2026-06-25T13:35:36.247Z] Polling Dialfire...
2026-06-25 15:36:36 +02:00: [2026-06-25T13:36:36.250Z] Polling Dialfire...
2026-06-25 15:37:36 +02:00: [2026-06-25T13:37:36.252Z] Polling Dialfire...
2026-06-25 15:38:36 +02:00: [2026-06-25T13:38:36.253Z] Polling Dialfire...
